set_code,set_name,printed_set_abbrev,page_base,page_url,bulba_number,bulba_name,bulba_lane,bulba_notes,reason
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,021/053,Emolga,Black Collection,C},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,026/053,Gothita,Black Collection,C},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,027/053,Gothorita,Black Collection,U},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,028/053,Gothitelle,Black Collection,R},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,029/053,Roggenrola,Black Collection,C},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,030/053,Boldore,Black Collection,U},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,031/053,Drilbur,Black Collection,C},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,032/053,Excadrill,Black Collection,R},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,047/053,Tornadus,Black Collection,R},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,049/053,Crushing Hammer,Black Collection,U},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,051/053,Max Potion,Black Collection,U},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,052/053,Recycle,Black Collection,U},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,054/053,Tornadus,Black Collection,SR},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,019/053,Thundurus,White Collection,R},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,024/053,Sigilyph,White Collection,C},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,038/053,Ferroseed,White Collection,C},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,039/053,Ferrothorn,White Collection,U},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,046/053,Rufflet,White Collection,U},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,047/053,Braviary,White Collection,U},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,049/053,Great Ball,White Collection,U},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,052/053,Pokémon Catcher,White Collection,U},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,053/053,Cheren,White Collection,U},bulbapedia_row_missing_in_db
bw1,Black & White,BLW,Black & White,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_%28TCG%29,054/053,Thundurus,White Collection,SR},bulbapedia_row_missing_in_db
bw11,Legendary Treasures,LTR,Legendary Treasures,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_%28TCG%29,RC4/RC25,Growlithe,Radiant Collection,Uncommon},bulbapedia_row_missing_in_db
bw11,Legendary Treasures,LTR,Legendary Treasures,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_%28TCG%29,RC5/RC25,Torchic,Radiant Collection,Common},bulbapedia_row_missing_in_db
bw11,Legendary Treasures,LTR,Legendary Treasures,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_%28TCG%29,RC7/RC25,Pikachu,Radiant Collection,Uncommon},bulbapedia_row_missing_in_db
bw11,Legendary Treasures,LTR,Legendary Treasures,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_%28TCG%29,RC10/RC25,Gardevoir,Radiant Collection,Uncommon},bulbapedia_row_missing_in_db
bw11,Legendary Treasures,LTR,Legendary Treasures,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_%28TCG%29,RC13/RC25,Purrloin,Radiant Collection,Uncommon},bulbapedia_row_missing_in_db
bw11,Legendary Treasures,LTR,Legendary Treasures,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_%28TCG%29,RC14/RC25,Eevee,Radiant Collection,Uncommon},bulbapedia_row_missing_in_db
bw11,Legendary Treasures,LTR,Legendary Treasures,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_%28TCG%29,RC15/RC25,Teddiursa,Radiant Collection,Common},bulbapedia_row_missing_in_db
bw11,Legendary Treasures,LTR,Legendary Treasures,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_%28TCG%29,RC16/RC25,Ursaring,Radiant Collection,Common},bulbapedia_row_missing_in_db
bw11,Legendary Treasures,LTR,Legendary Treasures,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_%28TCG%29,RC20/RC25,Elesa,Radiant Collection,Common},bulbapedia_row_missing_in_db
bw11,Legendary Treasures,LTR,Legendary Treasures,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_%28TCG%29,RC21/RC25,Shaymin EX,Radiant Collection,Rare Ultra},bulbapedia_row_missing_in_db
bw11,Legendary Treasures,LTR,Legendary Treasures,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_%28TCG%29,RC24/RC25,Mew EX,Radiant Collection,Rare Ultra},bulbapedia_row_missing_in_db
bw11,Legendary Treasures,LTR,Legendary Treasures,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_%28TCG%29,096/093,Imakuni?,EX Battle Boost,},bulbapedia_row_missing_in_db
bw11,Legendary Treasures,LTR,Legendary Treasures,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_%28TCG%29,097/093,Pokémon Enterprise,EX Battle Boost,},bulbapedia_row_missing_in_db
bw11,Legendary Treasures,LTR,Legendary Treasures,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_%28TCG%29,098/093,Pokémon Enterprise,EX Battle Boost,},bulbapedia_row_missing_in_db
bw11,Legendary Treasures,LTR,Legendary Treasures,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_%28TCG%29,099/093,Pokémon Enterprise,EX Battle Boost,},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,006/052,Sewaddle,Psycho Drive,C},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,007/052,Swadloon,Psycho Drive,C},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,008/052,Leavanny,Psycho Drive,R},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,015/052,Kyogre EX,Psycho Drive,R},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,031/052,Solosis,Psycho Drive,C},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,032/052,Duosion,Psycho Drive,C},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,033/052,Reuniclus,Psycho Drive,U},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,034/052,Timburr,Psycho Drive,C},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,035/052,Gurdurr,Psycho Drive,C},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,036/052,Conkeldurr,Psycho Drive,R},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,044/052,Ferrothorn,Psycho Drive,U},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,054/052,Kyogre EX,Psycho Drive,SR},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,003/052,Petilil,Hail Blizzard,C},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,004/052,Lilligant,Hail Blizzard,U},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,005/052,Deerling,Hail Blizzard,C},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,006/052,Sawsbuck,Hail Blizzard,U},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,021/052,Cryogonal,Hail Blizzard,U},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,032/052,Groudon EX,Hail Blizzard,R},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,041/052,Pawniard,Hail Blizzard,C},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,042/052,Bisharp,Hail Blizzard,R},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,047/052,Tranquill,Hail Blizzard,C},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,048/052,Unfezant,Hail Blizzard,U},bulbapedia_row_missing_in_db
bw4,Next Destinies,NXD,Next Destinies,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_%28TCG%29,054/052,Groudon EX,Hail Blizzard,SR},bulbapedia_row_missing_in_db
bw5,Dark Explorers,DEX,Dark Explorers,https://bulbapedia.bulbagarden.net/wiki/Dark_Explorers_%28TCG%29,036/069,Swoobat,Dark Rush,C},bulbapedia_row_missing_in_db
bw5,Dark Explorers,DEX,Dark Explorers,https://bulbapedia.bulbagarden.net/wiki/Dark_Explorers_%28TCG%29,051/069,Mandibuzz,Dark Rush,C},bulbapedia_row_missing_in_db
bw6,Dragons Exalted,DRX,Dragons Exalted,https://bulbapedia.bulbagarden.net/wiki/Dragons_Exalted_%28TCG%29,117/124,Blend Energy GRPD,Additional cards,Crosshatch Holo 2012 Player Rewards (Tier 2)},bulbapedia_row_missing_in_db
bw6,Dragons Exalted,DRX,Dragons Exalted,https://bulbapedia.bulbagarden.net/wiki/Dragons_Exalted_%28TCG%29,118/124,Blend Energy WLFM,Additional cards,Crosshatch Holo 2012 Player Rewards (Tier 2)},bulbapedia_row_missing_in_db
bw6,Dragons Exalted,DRX,Dragons Exalted,https://bulbapedia.bulbagarden.net/wiki/Dragons_Exalted_%28TCG%29,117/124,Blend Energy,Dragons Exalted,Uncommon},bulbapedia_row_missing_in_db
bw6,Dragons Exalted,DRX,Dragons Exalted,https://bulbapedia.bulbagarden.net/wiki/Dragons_Exalted_%28TCG%29,118/124,Blend Energy,Dragons Exalted,Uncommon},bulbapedia_row_missing_in_db
bw6,Dragons Exalted,DRX,Dragons Exalted,https://bulbapedia.bulbagarden.net/wiki/Dragons_Exalted_%28TCG%29,050/050,Blend Energy GRPD,Dragon Blast,U},bulbapedia_row_missing_in_db
bw6,Dragons Exalted,DRX,Dragons Exalted,https://bulbapedia.bulbagarden.net/wiki/Dragons_Exalted_%28TCG%29,050/050,Blend Energy WLFM,Dragon Blade,U},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,006/059,Combee,Freeze Bolt,C},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,007/059,Vespiquen,Freeze Bolt,U},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,017/059,Swinub,Freeze Bolt,C},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,018/059,Piloswine,Freeze Bolt,U},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,019/059,Mamoswine,Freeze Bolt,U},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,037/059,Lunatone,Freeze Bolt,U},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,054/059,Escape Rope,Freeze Bolt,U},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,057/059,Virbank City Gym,Freeze Bolt,U},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,005/059,Sewaddle,Cold Flare,C},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,006/059,Swadloon,Cold Flare,C},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,007/059,Leavanny,Cold Flare,U},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,022/059,Joltik,Cold Flare,C},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,023/059,Galvantula,Cold Flare,U},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,033/059,Solrock,Cold Flare,U},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,034/059,Timburr,Cold Flare,C},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,035/059,Gurdurr,Cold Flare,U},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,036/059,Conkeldurr,Cold Flare,U},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,044/059,Whismur,Cold Flare,C},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,045/059,Loudred,Cold Flare,C},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,046/059,Exploud,Cold Flare,U},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,054/059,Bicycle,Cold Flare,U},bulbapedia_row_missing_in_db
bw7,Boundaries Crossed,BCR,Boundaries Crossed,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_%28TCG%29,055/059,Ether,Cold Flare,U},bulbapedia_row_missing_in_db
bw8,Plasma Storm,PLS,Plasma Storm,https://bulbapedia.bulbagarden.net/wiki/Plasma_Storm_%28TCG%29,076/070,Skyla,Plasma Gale,SR},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,006/025,Flying Pikachu,Celebrations,Ultra-Rare Rare},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,008/025,Surfing Pikachu,Celebrations,Ultra-Rare Rare},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,016/025,Zacian,Celebrations,Ultra-Rare Rare},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,018/025,Zamazenta,Celebrations,Ultra-Rare Rare},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,003/028,Professor's Research,25th Anniversary Collection,None},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,018/028,Zacian,25th Anniversary Collection,RR},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,019/028,Zamazenta,25th Anniversary Collection,RR},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,021/028,Surfing Pikachu,25th Anniversary Collection,RR},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,023/028,Flying Pikachu,25th Anniversary Collection,RR},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,025/028,Pikachu V-UNION,25th Anniversary Collection,RRR},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,026/028,Pikachu V-UNION,25th Anniversary Collection,RRR},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,027/028,Pikachu V-UNION,25th Anniversary Collection,RRR},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,028/028,Pikachu V-UNION,25th Anniversary Collection,RRR},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,029/028,Professor's Research,25th Anniversary Collection,SR},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,None,Grass Energy,25th Anniversary Collection,None},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,None,Fire Energy,25th Anniversary Collection,None},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,None,Water Energy,25th Anniversary Collection,None},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,None,Lightning Energy,25th Anniversary Collection,None},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,None,Psychic Energy,25th Anniversary Collection,None},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,None,Fighting Energy,25th Anniversary Collection,None},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,None,Darkness Energy,25th Anniversary Collection,None},bulbapedia_row_missing_in_db
cel25,Celebrations,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,None,Metal Energy,25th Anniversary Collection,None},bulbapedia_row_missing_in_db
cel25c,Celebrations: Classic Collection,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,2/102,Blastoise [Base Set],Classic Collection,Rare Classic},bulbapedia_row_missing_in_db
cel25c,Celebrations: Classic Collection,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,4/102,Charizard [Base Set],Classic Collection,Rare Classic},bulbapedia_row_missing_in_db
cel25c,Celebrations: Classic Collection,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,15/102,Venusaur [Base Set],Classic Collection,Rare Classic},bulbapedia_row_missing_in_db
cel25c,Celebrations: Classic Collection,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,73/102,Imposter Professor Oak [Base Set],Classic Collection,Rare Classic},bulbapedia_row_missing_in_db
cel25c,Celebrations: Classic Collection,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,8/82,Dark Gyarados [Team Rocket],Classic Collection,Rare Classic},bulbapedia_row_missing_in_db
cel25c,Celebrations: Classic Collection,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,15/82,Here Comes Team Rocket! [Team Rocket],Classic Collection,Rare Classic},bulbapedia_row_missing_in_db
cel25c,Celebrations: Classic Collection,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,15/132,Rocket's Zapdos [Gym Challenge],Classic Collection,Rare Classic},bulbapedia_row_missing_in_db
cel25c,Celebrations: Classic Collection,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,24,_____'s Pikachu [Wizards Black Star Promos],Classic Collection,Rare Classic},bulbapedia_row_missing_in_db
cel25c,Celebrations: Classic Collection,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,20/111,Cleffa [Neo Genesis],Classic Collection,Rare Classic},bulbapedia_row_missing_in_db
cel25c,Celebrations: Classic Collection,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,66/64,Shining Magikarp [Neo Revelation],Classic Collection,Rare Classic},bulbapedia_row_missing_in_db
cel25c,Celebrations: Classic Collection,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,9/95,Team Magma's Groudon [EX Team Magma vs Team Aqua],Classic Collection,Rare Classic},bulbapedia_row_missing_in_db
cel25c,Celebrations: Classic Collection,CEL,Celebrations,https://bulbapedia.bulbagarden.net/wiki/Celebrations_%28TCG%29,86/109,Rocket's Admin. [EX Team Rocket Returns],Classic Collection,Rare Classic},bulbapedia_row_missing_in_db
