queue_index,description_id,gv_id,name,branch,current_review_status,image_source_key,quality_flags,reviewer_decision,reviewer_notes
"12","878c39f9-e63b-48f3-94b2-6b15c344a7b6","GV-PK-JPN-TCGCOLLECTOR11526-019","Magnetic Storm","Stadium","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-tcgcollector-11526/gv-pk-jpn-tcgcollector11526-019/187cf109d5ea38bf75e55e86.webp","potential_interpretive_claim","",""
"13","8c641a4f-4f0f-4382-87fe-b542009cbc9b","GV-PK-JPN-TCGCOLLECTOR11515-020","Dark Metal Energy","Energy","pending","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-tcgcollector-11515/gv-pk-jpn-tcgcollector11515-020/4ef151045613b9a43845044d.webp","","",""
"14","8dfd3022-c9a3-457b-8b2e-736236e6a8db","GV-PK-JPN-M5-106","Tremendous Bomb","Item / Tool / Supporter","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-m5/gv-pk-jpn-m5-106/a3921a3278c2539d.png","potential_dramatic_inferred_action_language;potential_object_material_or_card_surface_confusion;potential_visual_material_vs_surface_confusion","",""
"15","913f13e0-de69-4dec-ba7b-830dc2d86baf","GV-PK-JPN-M5-117","Gwynn","Trainer","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-m5/gv-pk-jpn-m5-117/c58b85f749bf1312.webp","potential_interpretive_mood_language;potential_speculative_setting_language;potential_unsupported_personality_or_species_interpretation","",""
"16","970cf8ab-eea6-4c31-b1de-0ef2d1182b4a","GV-PK-JPN-M5-073","ごうかいボム","Item / Tool / Supporter","needs_review","warehouse-derived/self-hosted-images-v1/jpn-m5/073.png","potential_dramatic_inferred_action_language;potential_interpretive_claim;potential_object_material_or_card_surface_confusion;potential_visual_material_vs_surface_confusion","",""
"17","9e856780-de5e-4cc3-88e2-d7f9365cb529","GV-PK-JPN-M5-105","Dark Bell","Item / Tool / Supporter","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-m5/gv-pk-jpn-m5-105/ef9a5dcf287a9610.png","potential_canonical_metadata_in_visual_output;potential_interpretive_claim;potential_interpretive_mood_language;potential_metadata_or_identity_language;potential_object_material_or_card_surface_confusion;potential_visual_material_vs_surface_confusion","",""
"18","a2e4f6a1-22ca-4d33-84c0-653fbbd5ab10","GV-PK-JPN-TCGCOLLECTOR11194-057","Water Energy","Energy","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-tcgcollector-11194/gv-pk-jpn-tcgcollector11194-057/f990412bceb082b860671f41.webp","potential_canonical_metadata_in_visual_output;potential_interpretive_claim","",""
"19","ab4eeae2-564c-49d1-89bb-b641e1724439","GV-PK-JPN-M5-101","Mega Excadrill ex","Pokemon","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-m5/gv-pk-jpn-m5-101/bb29bdfa6fd84b7d.png","potential_unsupported_personality_or_species_interpretation","",""
"20","b4567a78-4a83-4ae9-841b-90a525c1672a","GV-PK-JPN-M5-116","Gladion's Final Battle","Trainer","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-m5/gv-pk-jpn-m5-116/8a7a8ebcce565e4d.png","potential_unsupported_personality_or_species_interpretation","",""
"21","bac2338c-e512-46a8-934f-abd5e2067341","GV-PK-JPN-M5-113","Mega Chandelure ex","Pokemon","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-m5/gv-pk-jpn-m5-113/1ae50649ee903a21.webp","potential_speculative_setting_language","",""
"22","c31d3b07-dbfc-48ff-af7f-79494845ed08","GV-PK-JPN-SMG-039","Dimension Valley","Stadium","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-smg/gv-pk-jpn-smg-039/9f452b720b5542af6b088d2e.webp","potential_interpretive_claim;potential_semantic_tag_nonvisual_concept;potential_speculative_setting_language;potential_unsupported_personality_or_species_interpretation","",""
"23","c421a13c-765c-45a7-87f7-5b6647f9115a","GV-PK-JPN-M5-111","Gwynn","Trainer","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-m5/gv-pk-jpn-m5-111/1e540bd8e1bdd07a.png","potential_unsupported_personality_or_species_interpretation","",""
"24","d6af9a83-a6d0-463c-83ec-ce61dd08f388","GV-PK-JPN-TCGCOLLECTOR11525-019","High Pressure System","Stadium","pending","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-tcgcollector-11525/gv-pk-jpn-tcgcollector11525-019/acaddd18737a338604d93500.webp","","",""
"25","f7c878cf-b329-492d-b292-d1b3ccc128cf","GV-PK-JPN-TCGCOLLECTOR11541-013","Psychic Energy","Energy","needs_review","warehouse-derived/self-hosted-images-v1/pokemon-jpn/jpn-tcgcollector-11541/gv-pk-jpn-tcgcollector11541-013/6edea98f72eb266dc8b6f5f5.webp","potential_canonical_metadata_in_visual_output;potential_interpretive_mood_language;potential_purpose_or_lore_interpretation","",""
